S.no,PROVINCE,DISTRICT,TEHSIL,TEHSIL - CODE,UC NAME,UC_UR,UC Number,UC CODE,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,VILLAGE NUMBER,VILLAGE CODE,VILLAGE NAME
96,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,9,1311169,DHERI HOTAR
97,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,8,1311168,DHAKA
98,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,7,1311167,DAKH DOGA
99,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,6,1311166,BUNJ
100,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,5,1311165,BRONGIALA
101,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,4,1311164,BIRAN GALI
102,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,3,1311163,BANDIYALI
103,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,2,1311162,ANDER SERI
104,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BIRAN GALI,Rural,6,131116,34.180911,73.381712,26,1,1311161,AKHREELA
105,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,20,13111720,TORI BATTANGI
106,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,19,13111719,SEHRA DOGA
107,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,18,13111718,SARHAN
108,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,17,13111717,SAMBLI
109,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,16,13111716,RANKOT
110,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,15,13111715,PALL BOI
111,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,14,13111714,MOHRI MAIRA
112,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,13,13111713,MAKREELA
113,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,12,13111712,GALLI MIRAN
114,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,11,13111711,DHANNI BOI
115,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,10,13111710,DEEDAL
116,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,9,1311179,CHARIYALI
117,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,8,1311178,CHAK BOI
118,KHYBER PAKHTUNKHWA,ABBOTTABAD,ABBOTTABAD,1311,BOI,Rural,7,131117,34.312688,73.442935,20,7,1311177,BOI
