PROVINCE,DIVISION,DISTRICT,TEHSIL,TEHSIL CODE,UC,UC OFFICIAL,UC_UR,UC NUMBER,UC_Code,LATITUDE,LONGITUDE,NUMBER OF VILLAGES,V.NO,V.CODE,VILLAGE NAME
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,12,611121312,HUMAK
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,11,611121311,NAZIAN
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,10,611121310,THALIALA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,9,61112139,BHAMBAR TARAR
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,8,61112138,CHAK KAMDAR
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,7,61112137,HERDOGHER
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,6,61112136,MIANA THUB
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,5,61112135,MUGHAL
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,4,61112134,DHA
ISLAMABAD CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD DISTRICT,ISLAMABAD TEHSIL,6111,UC No.14 Sihala,UC No.14 Sihala,2,13,6111213,33.55817170,73.14051550,23,3,61112133,KANGOTA SYEDAN
